Market-TC,Location,GeoKey
Ghana-Diplomatic,Accra,45-DI-1248
Ghana-Military,Accra,45-MI-3041
Ghana-Shipchandling,"Accra, Takoradi","45-SH-3054, 45-SH-3042"
Gibraltar-Airports,Gibraltar,46-AI-254
Gibraltar-Borders,Gibraltar,46-BO-1029
Gibraltar-Shipchandling,Gibraltar,46-SH-3055
Great Britain DP-Ferries,"Dover, Roscoff, Dieppe","210-FE-1458, 210-FE-1761, 210-FE-1449"
Great Britain-Airlines,"London Gatwick, Guernsey, Manchester, Horley, London Heathrow, London Luton, London Stansted","118-AR-851, 118-AR-3643, 118-AR-891, 118-AR-867, 118-AR-882, 118-AR-883, 118-AR-3670"
Great Britain-Airports,"Manchester, Cardiff, Birmingham, London Southend Airport, Doncaster, Southampton, Aberdeen, Glasgow Prestwick, Exeter, London Luton, Edinburgh, Guernsey, Humberside, London Heathrow, Newcastle, Leeds Bradford, London Stansted, Glasgow, Liverpool, Bristol, Norwich, Bournemouth, London City, East Midlands, Jersey, Belfast, London Gatwick","118-AI-437, 118-AI-139, 118-AI-101, 118-AI-3463, 118-AI-197, 118-AI-679, 118-AI-4, 118-AI-3613, 118-AI-221, 118-AI-404, 118-AI-211, 118-AI-269, 118-AI-294, 118-AI-284, 118-AI-499, 118-AI-390, 118-AI-402, 118-AI-255, 118-AI-401, 118-AI-122, 118-AI-3614, 118-AI-112, 118-AI-403, 118-AI-210, 118-AI-316, 118-AI-85, 118-AI-245"
Great Britain-Borders,London,118-BO-3971
Great Britain-Diplomatic,London,118-DI-1294
Great Britain-Ferries,"Poole, Roscoff, Southampton, Folkstone, Portsmouth, Jersey, Dunkerque, Dover, Calais, Holyhead, Avonmouth","118-FE-1719, 118-FE-1760, 118-FE-4026, 118-FE-3582, 118-FE-1728, 118-FE-1559, 118-FE-4063, 118-FE-1457, 118-FE-3956, 118-FE-2762, 118-FE-4236"
Great Britain-Military,London,118-MI-2579
Great Britain-Shipchandling,"Peterhead, Aberdeen, Morecambe, Norfolk Harbour, Southampton, Hull, Avonmouth, Liverpool, Newport, Kent Port, Par Port, Jersey, Immingham","118-SH-2313, 118-SH-2036, 118-SH-2272, 118-SH-2289, 118-SH-2388, 118-SH-2192, 118-SH-2056, 118-SH-2243, 118-SH-2285, 118-SH-2211, 118-SH-2303, 118-SH-4166, 118-SH-2198"
Greece-Airports,"Heraklion Airport, Kos, Athens, Alexandoupolis, Mitilini, Samos, Rhodes, Ioannina, Zakynthos, Corfu, Skiathos, Karpathos, Santorini, Aktio, Mykonos, Chania, Thessaloniki, Kavala","47-AI-288, 47-AI-355, 47-AI-56, 47-AI-24, 47-AI-460, 47-AI-621, 47-AI-598, 47-AI-4325, 47-AI-787, 47-AI-177, 47-AI-674, 47-AI-335, 47-AI-638, 47-AI-22, 47-AI-479, 47-AI-149, 47-AI-715, 47-AI-337"
Greece-Borders,"Greece/Albania, Greece/FYROM, Greece/Turkey","47-BO-1033, 47-BO-1032, 47-BO-1034"
